P,Timestamp,U,Real_U
4.326,2024-09-19 11:17:54,0.899497,0.9
4.35,2024-09-19 11:17:55,0.9025,0.9
4.426,2024-09-19 11:17:56,0.904762,0.9
4.461,2024-09-19 11:17:57,0.9075,0.9
4.386,2024-09-19 11:17:58,0.897243,0.9
4.533,2024-09-19 11:18:26,0.952618,0.95
4.744,2024-09-19 11:18:27,0.9525,0.95
5.588,2024-09-19 11:18:28,0.947631,0.95
5.464,2024-09-19 11:18:29,0.95,0.95
5.544,2024-09-19 11:18:30,0.947631,0.95
5.809,2024-09-19 11:18:58,0.9225,1.0
5.838,2024-09-19 11:18:59,0.9925,1.0
5.751,2024-09-19 11:19:00,0.997494,1.0
4.39,2024-09-19 11:19:01,0.994987,1.0
4.437,2024-09-19 11:19:02,0.995012,1.0
5.191,2024-09-19 11:19:03,0.9975,1.0
