Timestamp;Power
1726733818;27.922
1726733819;31.741
1726733820;29.413
1726733821;30.946
1726733822;28.957
1726733823;30.739
1726733824;28.943
1726733825;30.723
1726733826;29.304
1726733827;30.779
1726733828;33.999
1726733829;28.918
1726733830;30.424
1726733831;28.931
1726733832;30.675
1726733833;29.501
1726733834;30.732
1726733835;29.244
1726733836;30.414
1726733837;28.827
1726733838;30.354
1726733839;29.052
1726733840;30.841
1726733841;29.219
1726733842;28.857
1726733843;30.553
1726733844;28.786
1726733845;30.396
1726733846;29.052
1726733847;31.076
1726733848;28.902
1726733849;30.399
1726733850;28.793
1726733851;30.629
1726733852;28.887
1726733853;30.794
1726733854;29.220
1726733855;29.359
1726733856;30.430
1726733857;28.863
1726733858;30.323
1726733859;29.154
1726733860;30.562
1726733861;29.390
1726733862;30.736
1726733863;29.040
1726733864;30.606
1726733865;28.920
1726733866;30.731
1726733867;28.908
1726733868;29.278
1726733869;30.592
1726733870;28.885
1726733871;30.477
1726733872;29.094
1726733873;30.363
1726733874;28.885
1726733875;31.023
1726733876;29.290
1726733877;30.595
1726733878;28.892
1726733879;30.808
1726733880;28.711
1726733881;28.905
1726733882;30.926
1726733883;29.768
1726733884;30.725
1726733885;29.401
1726733886;30.658
1726733887;29.017
1726733888;30.559
1726733889;28.990
1726733890;30.957
1726733891;28.877
1726733892;30.596
1726733893;28.910
1726733894;29.534
1726733895;30.054
1726733896;29.052
1726733897;31.071
1726733898;29.398
1726733899;30.688
1726733900;29.023
1726733901;30.290
1726733902;28.759
1726733903;30.246
1726733904;29.282
1726733905;30.651
1726733906;29.013
1726733907;30.252
1726733908;28.823
1726733909;28.954
